0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,match_id,home_team,away_team,home_score,away_score,home_formation,away_formation
Sam Johnstone,Darnell Furlong,Kieran Gibbs,Dara O'Shea,Semi Ajayi,Karlan Grant,Robert Snodgrass,Romaine Sawyers,Jake Livermore,Matheus Pereira,Callum Robinson,David Button,Conor Townsend,Kyle Bartley,Branislav Ivanovic,Lee Peltier,Kyle Edwards,Matt Phillips,Conor Gallagher,Hal Robson-Kanu,Ederson,Rúben Dias,João Cancelo,John Stones,Oleksandr Zinchenko,Ilkay Gündogan,Bernardo Silva,Rodri,Raheem Sterling,Riyad Mahrez,Phil Foden,Zack Steffen,Benjamin Mendy,Kyle Walker,Eric García,Aymeric Laporte,Fernandinho,Adrián Bernabé,Ferran Torres,Gabriel Jesus,59090,West Bromwich Albion,Manchester City,0,5,4-4-1-1,4-3-3
Édouard Mendy,Antonio Rüdiger,César Azpilicueta,Thiago Silva,Jorginho,Ben Chilwell,Mateo Kovacic,Callum Hudson-Odoi,Kai Havertz,Olivier Giroud,Hakim Ziyech,Kepa Arrizabalaga,Emerson,Kurt Zouma,Marcos Alonso,Reece James,Mason Mount,Christian Pulisic,Timo Werner,Tammy Abraham,Rui Patrício,Maximilian Kilman,Conor Coady,Willy Boly,Rúben Neves,Rayan Aït-Nouri,Nélson Semedo,Leander Dendoncker,Adama Traoré,Daniel Podence,Pedro Neto,John Ruddy,Ki-Jana Hoever,Owen Otasowie,João Moutinho,Vitinha,Romain Saïss,Willian José,Patrick Cutrone,Fábio Silva,59091,Chelsea,Wolverhampton Wanderers,0,0,3-4-2-1,3-4-1-2
Vicente Guaita,Cheikhou Kouyaté,Gary Cahill,Tyrick Mitchell,Joel Ward,Luka Milivojevic,Eberechi Eze,James McArthur,Andros Townsend,Wilfried Zaha,Christian Benteke,Jack Butland,Patrick van Aanholt,Nathaniel Clyne,Martin Kelly,Scott Dann,Jairo Riedewald,James McCarthy,Jordan Ayew,Michy Batshuayi,Lukasz Fabianski,Craig Dawson,Aaron Cresswell,Vladimir Coufal,Angelo Ogbonna,Declan Rice,Pablo Fornals,Tomas Soucek,Jarrod Bowen,Saïd Benrahma,Michail Antonio,David Martin,Issa Diop,Fabián Balbuena,Ben Johnson,Ryan Fredericks,Mark Noble,Manuel Lanzini,Andriy Yarmolenko,Ademipo Odubeko,59092,Crystal Palace,West Ham United,2,3,4-4-2,4-2-3-1
Karl Darlow,Isaac Hayden,Fabian Schär,Jamaal Lascelles,Jamal Lewis,Jonjo Shelvey,Jeff Hendrick,Jacob Murphy,Miguel Almirón,Callum Wilson,Ryan Fraser,Martin Dúbravka,Emil Krafth,Javier Manquillo,Matt Ritchie,Matthew Longstaff,Allan Saint-Maximin,Andy Carroll,Joelinton,Dwight Gayle,Illan Meslier,Diego Llorente,Luke Ayling,Ezgjan Alioski,Liam Cooper,Kalvin Phillips,Jack Harrison,Raphinha,Rodrigo,Stuart Dallas,Patrick Bamford,Kiko Casilla,Leif Davis,Pascal Struijk,Mateusz Klich,Jamie Shackleton,Pablo Hernández,Tyler Roberts,Ian Poveda-Ocampo,Hélder Costa,59093,Newcastle United,Leeds United,1,2,4-4-1-1,4-1-4-1
Alex McCarthy,Jake Vokins,Jan Bednarek,Jack Stephens,Yan Valery,James Ward-Prowse,Ibrahima Diallo,Stuart Armstrong,Theo Walcott,Che Adams,Danny Ings,Fraser Forster,Kayne Ramsay,Alexandre Jankewitz,Kgaogelo Chauke,Nathan Redmond,Caleb Watts,Will Ferry,Daniel N'Lundulu,Shane Long,Bernd Leno,Héctor Bellerín,Rob Holding,David Luiz,Cédric Soares,Granit Xhaka,Nicolas Pépé,Thomas Partey,Emile Smith Rowe,Bukayo Saka,Alexandre Lacazette,Mat Ryan,Gabriel Magalhães,Calum Chambers,Mohamed Elneny,Ainsley Maitland-Niles,Joseph Willock,Eddie Nketiah,Willian,Gabriel Martinelli,59094,Southampton,Arsenal,1,3,4-4-2,4-2-3-1
Hugo Lloris,Eric Dier,Joe Rodon,Ben Davies,Serge Aurier,Tanguy Ndombele,Pierre-Emile Højbjerg,Matt Doherty,Son Heung-Min,Steven Bergwijn,Harry Kane,Joe Hart,Toby Alderweireld,Davinson Sánchez,Moussa Sissoko,Erik Lamela,Harry Winks,Gareth Bale,Carlos Vinícius,Lucas Moura,Alisson,Trent Alexander-Arnold,Andrew Robertson,Jordan Henderson,Joel Matip,Thiago,Georginio Wijnaldum,James Milner,Roberto Firmino,Mohamed Salah,Sadio Mané,Caoimhin Kelleher,Nathaniel Phillips,Konstantinos Tsimikas,Rhys Williams,Curtis Jones,Alex Oxlade-Chamberlain,Xherdan Shaqiri,Divock Origi,Takumi Minamino,59095,Tottenham Hotspur,Liverpool,1,3,3-4-3,4-3-3
Bernd Leno,Héctor Bellerín,Rob Holding,David Luiz,Cédric Soares,Granit Xhaka,Nicolas Pépé,Thomas Partey,Gabriel Martinelli,Emile Smith Rowe,Alexandre Lacazette,Rúnar Alex Rúnarsson,Gabriel Magalhães,Calum Chambers,Mohamed Elneny,Ainsley Maitland-Niles,Martin Ødegaard,Joseph Willock,Eddie Nketiah,Willian,David de Gea,Aaron Wan-Bissaka,Victor Lindelöf,Luke Shaw,Harry Maguire,Bruno Fernandes,Paul Pogba,Scott McTominay,Marcus Rashford,Fred,Edinson Cavani,Dean Henderson,Eric Bailly,Axel Tuanzebe,Alex Telles,Nemanja Matic,Donny van de Beek,Daniel James,Mason Greenwood,Anthony Martial,59096,Arsenal,Manchester United,0,0,4-2-3-1,4-2-3-1
Robert Sánchez,Benjamin White,Lewis Dunk,Adam Webster,Joël Veltman,Solly March,Yves Bissouma,Pascal Groß,Alexis Mac Allister,Leandro Trossard,Neal Maupay,Christian Walton,Dan Burn,Jakub Moder,Adam Lallana,Steven Alzate,Percy Tau,Aaron Connolly,José Izquierdo,Andi Zeqiri,Hugo Lloris,Davinson Sánchez,Joe Rodon,Toby Alderweireld,Ben Davies,Moussa Sissoko,Tanguy Ndombele,Pierre-Emile Højbjerg,Gareth Bale,Steven Bergwijn,Son Heung-Min,Joe Hart,Matt Doherty,Japhet Tanganga,Eric Dier,Alfie Devine,Erik Lamela,Harry Winks,Lucas Moura,Carlos Vinícius,59097,Brighton and Hove Albion,Tottenham Hotspur,1,0,3-4-2-1,3-4-2-1
Édouard Mendy,Antonio Rüdiger,César Azpilicueta,Thiago Silva,Jorginho,Mateo Kovacic,Marcos Alonso,Callum Hudson-Odoi,Timo Werner,Tammy Abraham,Mason Mount,Kepa Arrizabalaga,Kurt Zouma,Andreas Christensen,Ben Chilwell,Reece James,N'Golo Kanté,Kai Havertz,Christian Pulisic,Olivier Giroud,Nick Pope,James Tarkowski,Erik Pieters,Matthew Lowton,Ben Mee,Dwight McNeil,Robbie Brady,Ashley Westwood,Jack Cork,Chris Wood,Matej Vydra,Bailey Peacock-Farrell,Phil Bardsley,Jimmy Dunne,Kevin Long,Dale Stephens,Josh Benson,Jóhann Gudmundsson,Joel Mumbongo,Jay Rodriguez,59098,Chelsea,Burnley,2,0,3-4-2-1,4-4-2
Vicente Guaita,Scott Dann,Nathaniel Clyne,Patrick van Aanholt,Cheikhou Kouyaté,Luka Milivojevic,James McCarthy,Jordan Ayew,Wilfried Zaha,Eberechi Eze,Michy Batshuayi,Jack Butland,Gary Cahill,Tyrick Mitchell,Joel Ward,Martin Kelly,Andros Townsend,Jairo Riedewald,Christian Benteke,Jean-Philippe Mateta,Rui Patrício,Conor Coady,Willy Boly,Maximilian Kilman,Ki-Jana Hoever,João Moutinho,Nélson Semedo,Leander Dendoncker,Pedro Neto,Willian José,Daniel Podence,John Ruddy,Nigel Lonwijk,Hugo Bueno,Morgan Gibbs-White,Vitinha,Rúben Neves,Owen Otasowie,Fábio Silva,Adama Traoré,59099,Crystal Palace,Wolverhampton Wanderers,1,0,4-2-3-1,3-4-2-1
Jordan Pickford,Lucas Digne,Séamus Coleman,Yerry Mina,Michael Keane,Abdoulaye Doucouré,James Rodríguez,Alex Iwobi,Richarlison,Gylfi Sigurdsson,Dominic Calvert-Lewin,João Virgínia,Robin Olsen,Jonjoe Kenny,Ben Godfrey,Mason Holgate,Tom Davies,André Gomes,Anthony Gordon,Buffer,Karl Darlow,Jamal Lewis,Jamaal Lascelles,Fabian Schär,Javier Manquillo,Miguel Almirón,Jeff Hendrick,Isaac Hayden,Jonjo Shelvey,Callum Wilson,Ryan Fraser,Martin Dúbravka,Emil Krafth,Ciaran Clark,Elliot Anderson,Matthew Longstaff,Andy Carroll,Allan Saint-Maximin,Joelinton,Dwight Gayle,59100,Everton,Newcastle United,0,2,4-2-3-1,4-3-1-2
Kasper Schmeichel,James Justin,Timothy Castagne,Wesley Fofana,Jonny Evans,James Maddison,Nampalys Mendy,Harvey Barnes,Youri Tielemans,Marc Albrighton,Ayoze Pérez,Danny Ward,Daniel Amartey,Luke Thomas,Christian Fuchs,Çaglar Söyüncü,Ricardo Pereira,Cengiz Ünder,Hamza Choudhury,Kelechi Iheanacho,Illan Meslier,Pascal Struijk,Luke Ayling,Ezgjan Alioski,Liam Cooper,Kalvin Phillips,Jack Harrison,Raphinha,Rodrigo,Stuart Dallas,Patrick Bamford,Kiko Casilla,Leif Davis,Charlie Cresswell,Mateusz Klich,Jamie Shackleton,Pablo Hernández,Tyler Roberts,Ian Poveda-Ocampo,Hélder Costa,59101,Leicester City,Leeds United,1,3,4-2-3-1,4-1-4-1
Ederson,Rúben Dias,Oleksandr Zinchenko,Kyle Walker,Aymeric Laporte,Ilkay Gündogan,Bernardo Silva,Fernandinho,Ferran Torres,Gabriel Jesus,Phil Foden,Zack Steffen,João Cancelo,John Stones,Benjamin Mendy,Eric García,Adrián Bernabé,Rodri,Raheem Sterling,Riyad Mahrez,Aaron Ramsdale,Jayden Bogle,George Baldock,Ethan Ampadu,John Egan,Chris Basham,John Lundstram,John Fleck,Oliver Norwood,Oliver Burke,Rhian Brewster,Wes Foderingham,Phil Jagielka,Kyron Gordon,Kean Bryan,Max Lowe,David McGoldrick,Lys Mousset,Oliver McBurnie,Billy Sharp,59102,Manchester City,Sheffield United,1,0,4-3-3,5-3-2
Alex McCarthy,James Ward-Prowse,Jan Bednarek,Jack Stephens,Ryan Bertrand,Stuart Armstrong,Oriol Romeu,Ibrahima Diallo,Theo Walcott,Nathan Redmond,Danny Ings,Fraser Forster,Kayne Ramsay,Yan Valery,Moussa Djenepo,Caleb Watts,Alexandre Jankewitz,Che Adams,Daniel N'Lundulu,Shane Long,Emiliano Martínez,Matt Targett,Matthew Cash,Tyrone Mings,Ezri Konsa,Ross Barkley,John McGinn,Bertrand Traoré,Jack Grealish,Douglas Luiz,Ollie Watkins,Tom Heaton,Björn Engels,Neil Taylor,Ahmed El Mohamady,Marvelous Nakamba,Morgan Sanson,Trézéguet,Anwar El Ghazi,Keinan Davis,59103,Southampton,Aston Villa,0,1,4-4-2,4-2-3-1
Sam Johnstone,Semi Ajayi,Kyle Bartley,Dara O'Shea,Conor Gallagher,Jake Livermore,Darnell Furlong,Kieran Gibbs,Robert Snodgrass,Matheus Pereira,Callum Robinson,David Button,Branislav Ivanovic,Lee Peltier,Conor Townsend,Matt Phillips,Romaine Sawyers,Hal Robson-Kanu,Mbaye Diagne,Karlan Grant,Alphonse Areola,Joachim Andersen,Tosin Adarabioyo,Ola Aina,André-Frank Zambo Anguissa,Antonee Robinson,Mario Lemina,Bobby De Cordova-Reid,Ruben Loftus-Cheek,Ademola Lookman,Aleksandar Mitrovic,Marek Rodák,Tim Ream,Kenny Tete,Michael Hector,Harrison Reed,Neeskens Kebano,Josh Onomah,Aboubakar Kamara,Ivan Cavaleiro,59104,West Bromwich Albion,Fulham,2,2,3-5-2,3-4-3
Lukasz Fabianski,Angelo Ogbonna,Vladimir Coufal,Craig Dawson,Aaron Cresswell,Saïd Benrahma,Pablo Fornals,Declan Rice,Tomas Soucek,Jarrod Bowen,Michail Antonio,David Martin,Ryan Fredericks,Ben Johnson,Issa Diop,Fabián Balbuena,Manuel Lanzini,Mark Noble,Andriy Yarmolenko,Ademipo Odubeko,Alisson,Jordan Henderson,Andrew Robertson,Nathaniel Phillips,Trent Alexander-Arnold,Xherdan Shaqiri,Georginio Wijnaldum,James Milner,Thiago,Divock Origi,Mohamed Salah,Adrián,Caoimhin Kelleher,Konstantinos Tsimikas,Rhys Williams,Neco Williams,Curtis Jones,Alex Oxlade-Chamberlain,Takumi Minamino,Roberto Firmino,59105,West Ham United,Liverpool,1,3,4-2-3-1,4-3-1-2
Emiliano Martínez,Tyrone Mings,Matthew Cash,Ezri Konsa,Matt Targett,Anwar El Ghazi,Douglas Luiz,John McGinn,Ross Barkley,Jack Grealish,Ollie Watkins,Tom Heaton,Björn Engels,Ahmed El Mohamady,Jacob Ramsey,Marvelous Nakamba,Trézéguet,Morgan Sanson,Bertrand Traoré,Keinan Davis,Lukasz Fabianski,Angelo Ogbonna,Vladimir Coufal,Aaron Cresswell,Craig Dawson,Ryan Fredericks,Declan Rice,Tomas Soucek,Jesse Lingard,Saïd Benrahma,Michail Antonio,David Martin,Issa Diop,Fabián Balbuena,Ben Johnson,Pablo Fornals,Manuel Lanzini,Ademipo Odubeko,Andriy Yarmolenko,Jarrod Bowen,59106,Aston Villa,West Ham United,1,3,4-2-3-1,4-2-3-1
Nick Pope,Ben Mee,Erik Pieters,Matthew Lowton,James Tarkowski,Jack Cork,Ashley Westwood,Jóhann Gudmundsson,Dwight McNeil,Matej Vydra,Jay Rodriguez,Bailey Peacock-Farrell,Anthony Driscoll-Glennon,Phil Bardsley,Richard Nartey,Jimmy Dunne,Kevin Long,Josh Benson,Dale Stephens,Joel Mumbongo,Ederson,João Cancelo,John Stones,Rúben Dias,Aymeric Laporte,Bernardo Silva,Rodri,Ilkay Gündogan,Gabriel Jesus,Raheem Sterling,Riyad Mahrez,Zack Steffen,Oleksandr Zinchenko,Kyle Walker,Benjamin Mendy,Eric García,Fernandinho,Claudio Gomes,Phil Foden,Ferran Torres,59107,Burnley,Manchester City,0,2,4-4-2,4-3-3
Alphonse Areola,Joachim Andersen,Tosin Adarabioyo,Ola Aina,Kenny Tete,André-Frank Zambo Anguissa,Antonee Robinson,Harrison Reed,Ruben Loftus-Cheek,Ademola Lookman,Aleksandar Mitrovic,Marek Rodák,Tim Ream,Denis Odoi,Michael Hector,Joe Bryan,Mario Lemina,Josh Onomah,Ivan Cavaleiro,Bobby De Cordova-Reid,Kasper Schmeichel,Çaglar Söyüncü,James Justin,Ricardo Pereira,Jonny Evans,Youri Tielemans,Harvey Barnes,James Maddison,Hamza Choudhury,Ayoze Pérez,Kelechi Iheanacho,Danny Ward,Christian Fuchs,Daniel Amartey,Luke Thomas,Vontae Daley-Campbell,Nampalys Mendy,Marc Albrighton,Cengiz Ünder,Thakgalo Leshabela,59108,Fulham,Leicester City,0,2,3-4-3,4-2-3-1
Illan Meslier,Ezgjan Alioski,Liam Cooper,Pascal Struijk,Luke Ayling,Mateusz Klich,Jack Harrison,Stuart Dallas,Kalvin Phillips,Raphinha,Patrick Bamford,Kiko Casilla,Charlie Cresswell,Leif Davis,Jamie Shackleton,Pablo Hernández,Jack Jenkins,Hélder Costa,Niall Huggins,Tyler Roberts,Robin Olsen,Lucas Digne,Ben Godfrey,Mason Holgate,Yerry Mina,André Gomes,Richarlison,Alex Iwobi,Gylfi Sigurdsson,Abdoulaye Doucouré,Dominic Calvert-Lewin,João Virgínia,Michael Keane,Niels Nkounkou,Séamus Coleman,James Rodríguez,Tom Davies,Fabian Delph,Bernard,Joshua King,59109,Leeds United,Everton,1,2,4-1-4-1,4-2-3-1
David de Gea,Aaron Wan-Bissaka,Victor Lindelöf,Luke Shaw,Harry Maguire,Bruno Fernandes,Mason Greenwood,Scott McTominay,Marcus Rashford,Fred,Edinson Cavani,Dean Henderson,Eric Bailly,Brandon Williams,Alex Telles,Nemanja Matic,Daniel James,Donny van de Beek,Paul Pogba,Anthony Martial,Alex McCarthy,Ryan Bertrand,Jan Bednarek,Jack Stephens,Kayne Ramsay,James Ward-Prowse,Moussa Djenepo,Alexandre Jankewitz,Stuart Armstrong,Che Adams,Danny Ings,Fraser Forster,Harry Lewis,Allan Tchaptchet,Ryan Finnigan,Nathan Redmond,Kgaogelo Chauke,Will Ferry,Caleb Watts,Daniel N'Lundulu,59110,Manchester United,Southampton,9,0,4-2-3-1,4-4-2
Aaron Ramsdale,Ethan Ampadu,John Egan,Chris Basham,John Lundstram,John Fleck,George Baldock,Oliver Norwood,Jayden Bogle,Billy Sharp,David McGoldrick,Wes Foderingham,Phil Jagielka,Kean Bryan,Max Lowe,Oliver Burke,Zak Brunt,Iliman Ndiaye,Oliver McBurnie,Rhian Brewster,Sam Johnstone,Conor Townsend,Kyle Bartley,Dara O'Shea,Semi Ajayi,Robert Snodgrass,Jake Livermore,Callum Robinson,Matt Phillips,Mbaye Diagne,Matheus Pereira,David Button,Lee Peltier,Kieran Gibbs,Darnell Furlong,Branislav Ivanovic,Romaine Sawyers,Conor Gallagher,Karlan Grant,Hal Robson-Kanu,59111,Sheffield United,West Bromwich Albion,2,1,3-5-2,4-4-1-1
Rui Patrício,Conor Coady,Willy Boly,Nélson Semedo,Maximilian Kilman,Pedro Neto,Adama Traoré,João Moutinho,Daniel Podence,Rúben Neves,Willian José,John Ruddy,Lewis Richards,Ki-Jana Hoever,Morgan Gibbs-White,Vitinha,Owen Otasowie,Leander Dendoncker,Fábio Silva,Buffer,Bernd Leno,Héctor Bellerín,Rob Holding,David Luiz,Cédric Soares,Granit Xhaka,Nicolas Pépé,Thomas Partey,Emile Smith Rowe,Bukayo Saka,Alexandre Lacazette,Rúnar Alex Rúnarsson,Gabriel Magalhães,Calum Chambers,Dani Ceballos,Mohamed Elneny,Martin Ødegaard,Willian,Pierre-Emerick Aubameyang,Gabriel Martinelli,59112,Wolverhampton Wanderers,Arsenal,2,1,4-2-3-1,4-2-3-1
Caoimhin Kelleher,Trent Alexander-Arnold,Andrew Robertson,Jordan Henderson,Nathaniel Phillips,Thiago,Georginio Wijnaldum,James Milner,Roberto Firmino,Xherdan Shaqiri,Mohamed Salah,Adrián,Neco Williams,Ben Davies,Konstantinos Tsimikas,Rhys Williams,Curtis Jones,Jake Cain,Alex Oxlade-Chamberlain,Divock Origi,Robert Sánchez,Adam Webster,Benjamin White,Lewis Dunk,Steven Alzate,Yves Bissouma,Pascal Groß,Solly March,Dan Burn,Leandro Trossard,Neal Maupay,Thomas McGill,Christian Walton,Michal Karbownik,Adam Lallana,Jakub Moder,Jensen Weir,Aaron Connolly,Andi Zeqiri,Percy Tau,59113,Liverpool,Brighton and Hove Albion,0,1,4-3-3,3-5-2
Karl Darlow,Fabian Schär,Ciaran Clark,Jamal Lewis,Javier Manquillo,Jonjo Shelvey,Isaac Hayden,Jeff Hendrick,Miguel Almirón,Callum Wilson,Ryan Fraser,Martin Dúbravka,Paul Dummett,Emil Krafth,Elliot Anderson,Matthew Longstaff,Allan Saint-Maximin,Andy Carroll,Joelinton,Dwight Gayle,Vicente Guaita,Scott Dann,Nathaniel Clyne,Gary Cahill,Patrick van Aanholt,Luka Milivojevic,Jairo Riedewald,Jordan Ayew,Eberechi Eze,Michy Batshuayi,Wilfried Zaha,Jack Butland,Tyrick Mitchell,Martin Kelly,Cheikhou Kouyaté,Andros Townsend,Christian Benteke,Jean-Philippe Mateta,Buffer,Buffer,59114,Newcastle United,Crystal Palace,1,2,4-3-1-2,4-4-2
Hugo Lloris,Ben Davies,Toby Alderweireld,Eric Dier,Serge Aurier,Moussa Sissoko,Steven Bergwijn,Pierre-Emile Højbjerg,Tanguy Ndombele,Carlos Vinícius,Son Heung-Min,Joe Hart,Joe Rodon,Davinson Sánchez,Japhet Tanganga,Matt Doherty,Harry Winks,Erik Lamela,Gareth Bale,Lucas Moura,Édouard Mendy,Antonio Rüdiger,César Azpilicueta,Thiago Silva,Marcos Alonso,Jorginho,Reece James,Mateo Kovacic,Timo Werner,Mason Mount,Callum Hudson-Odoi,Kepa Arrizabalaga,Emerson,Andreas Christensen,Ben Chilwell,N'Golo Kanté,Hakim Ziyech,Christian Pulisic,Olivier Giroud,Tammy Abraham,59115,Tottenham Hotspur,Chelsea,0,1,4-2-2-2,3-4-1-2
Emiliano Martínez,Tyrone Mings,Matthew Cash,Ezri Konsa,Matt Targett,Marvelous Nakamba,John McGinn,Ross Barkley,Jack Grealish,Bertrand Traoré,Ollie Watkins,Tom Heaton,Björn Engels,Ahmed El Mohamady,Jacob Ramsey,Anwar El Ghazi,Trézéguet,Morgan Sanson,Douglas Luiz,Keinan Davis,Mat Ryan,Héctor Bellerín,Rob Holding,Gabriel Magalhães,Cédric Soares,Granit Xhaka,Nicolas Pépé,Thomas Partey,Bukayo Saka,Emile Smith Rowe,Alexandre Lacazette,Rúnar Alex Rúnarsson,Pablo Marí,Calum Chambers,Dani Ceballos,Mohamed Elneny,Martin Ødegaard,Willian,Pierre-Emerick Aubameyang,Gabriel Martinelli,59116,Aston Villa,Arsenal,1,0,4-2-3-1,4-2-3-1
Nick Pope,James Tarkowski,Erik Pieters,Matthew Lowton,Ben Mee,Dwight McNeil,Jóhann Gudmundsson,Jack Cork,Ashley Westwood,Ashley Barnes,Matej Vydra,Bailey Peacock-Farrell,Phil Bardsley,Jimmy Dunne,Kevin Long,Anthony Driscoll-Glennon,Josh Benson,Dale Stephens,Joel Mumbongo,Jay Rodriguez,Robert Sánchez,Lewis Dunk,Adam Webster,Benjamin White,Joël Veltman,Dan Burn,Pascal Groß,Yves Bissouma,Aaron Connolly,Alexis Mac Allister,Neal Maupay,Christian Walton,Michal Karbownik,Jakub Moder,Steven Alzate,Adam Lallana,Andi Zeqiri,Percy Tau,Leandro Trossard,Danny Welbeck,59117,Burnley,Brighton and Hove Albion,1,1,4-4-2,3-4-1-2
Alphonse Areola,Antonee Robinson,Tosin Adarabioyo,Joachim Andersen,Kenny Tete,Bobby De Cordova-Reid,Ruben Loftus-Cheek,Ademola Lookman,Harrison Reed,Mario Lemina,Ivan Cavaleiro,Marek Rodák,Tim Ream,Michael Hector,Ola Aina,Joe Bryan,Josh Onomah,André-Frank Zambo Anguissa,Josh Maja,Aleksandar Mitrovic,Lukasz Fabianski,Angelo Ogbonna,Vladimir Coufal,Aaron Cresswell,Craig Dawson,Declan Rice,Tomas Soucek,Jesse Lingard,Jarrod Bowen,Saïd Benrahma,Michail Antonio,David Martin,Issa Diop,Fabián Balbuena,Ryan Fredericks,Ben Johnson,Pablo Fornals,Mark Noble,Manuel Lanzini,Andriy Yarmolenko,59118,Fulham,West Ham United,0,0,4-2-3-1,4-2-3-1
Illan Meslier,Pascal Struijk,Luke Ayling,Ezgjan Alioski,Liam Cooper,Raphinha,Kalvin Phillips,Jack Harrison,Mateusz Klich,Stuart Dallas,Patrick Bamford,Kiko Casilla,Leif Davis,Charlie Cresswell,Jack Jenkins,Jamie Shackleton,Joe Gelhardt,Niall Huggins,Tyler Roberts,Hélder Costa,Vicente Guaita,Scott Dann,Gary Cahill,Nathaniel Clyne,Tyrick Mitchell,Jairo Riedewald,Luka Milivojevic,Eberechi Eze,Patrick van Aanholt,Jordan Ayew,Jean-Philippe Mateta,Jack Butland,Martin Kelly,Cheikhou Kouyaté,Andros Townsend,Christian Benteke,Michy Batshuayi,Buffer,Buffer,Buffer,59119,Leeds United,Crystal Palace,2,0,4-1-4-1,4-4-2
Alisson,Fabinho,Jordan Henderson,Trent Alexander-Arnold,Andrew Robertson,Thiago,Georginio Wijnaldum,Curtis Jones,Mohamed Salah,Sadio Mané,Roberto Firmino,Adrián,Ozan Kabak,Konstantinos Tsimikas,Nathaniel Phillips,Neco Williams,Xherdan Shaqiri,James Milner,Alex Oxlade-Chamberlain,Divock Origi,Ederson,João Cancelo,Oleksandr Zinchenko,Rúben Dias,John Stones,Rodri,Bernardo Silva,Ilkay Gündogan,Riyad Mahrez,Phil Foden,Raheem Sterling,Zack Steffen,Aymeric Laporte,Eric García,Benjamin Mendy,Fernandinho,Tommy Doyle,Adrián Bernabé,Gabriel Jesus,Ferran Torres,59120,Liverpool,Manchester City,1,4,4-3-3,4-3-3
David de Gea,Luke Shaw,Harry Maguire,Aaron Wan-Bissaka,Victor Lindelöf,Bruno Fernandes,Mason Greenwood,Paul Pogba,Scott McTominay,Marcus Rashford,Edinson Cavani,Dean Henderson,Brandon Williams,Axel Tuanzebe,Alex Telles,Fred,Nemanja Matic,Donny van de Beek,Daniel James,Anthony Martial,Robin Olsen,Lucas Digne,Mason Holgate,Michael Keane,Ben Godfrey,Tom Davies,André Gomes,Abdoulaye Doucouré,James Rodríguez,Dominic Calvert-Lewin,Richarlison,João Virgínia,Séamus Coleman,Niels Nkounkou,Yerry Mina,Fabian Delph,Gylfi Sigurdsson,Joshua King,Alex Iwobi,Bernard,59121,Manchester United,Everton,3,3,4-2-3-1,4-3-1-2
Karl Darlow,Isaac Hayden,Fabian Schär,Jamal Lewis,Javier Manquillo,Jonjo Shelvey,Jeff Hendrick,Joseph Willock,Miguel Almirón,Callum Wilson,Allan Saint-Maximin,Martin Dúbravka,Paul Dummett,Emil Krafth,Matt Ritchie,Elliot Anderson,Ryan Fraser,Andy Carroll,Joelinton,Dwight Gayle,Alex McCarthy,Jannik Vestergaard,Ryan Bertrand,Jan Bednarek,Jack Stephens,James Ward-Prowse,Nathan Redmond,Oriol Romeu,Takumi Minamino,Che Adams,Danny Ings,Fraser Forster,Mohammed Salisu,Kayne Ramsay,Nathan Tella,Ryan Finnigan,Kgaogelo Chauke,Caleb Watts,Moussa Djenepo,Daniel N'Lundulu,59122,Newcastle United,Southampton,3,2,4-3-1-2,4-4-2
Aaron Ramsdale,Kean Bryan,John Egan,Chris Basham,John Fleck,Max Lowe,Oliver Norwood,John Lundstram,Jayden Bogle,Oliver Burke,Oliver McBurnie,Wes Foderingham,Phil Jagielka,Ben Osborn,David McGoldrick,Rhian Brewster,Billy Sharp,Buffer,Buffer,Buffer,Édouard Mendy,César Azpilicueta,Andreas Christensen,Antonio Rüdiger,Jorginho,Ben Chilwell,Reece James,Mateo Kovacic,Mason Mount,Timo Werner,Olivier Giroud,Kepa Arrizabalaga,Emerson,Kurt Zouma,Marcos Alonso,N'Golo Kanté,Hakim Ziyech,Billy Gilmour,Callum Hudson-Odoi,Tammy Abraham,59123,Sheffield United,Chelsea,1,2,3-5-2,3-4-2-1
Hugo Lloris,Davinson Sánchez,Toby Alderweireld,Ben Davies,Serge Aurier,Lucas Moura,Erik Lamela,Tanguy Ndombele,Pierre-Emile Højbjerg,Son Heung-Min,Harry Kane,Joe Hart,Matt Doherty,Joe Rodon,Moussa Sissoko,Eric Dier,Dane Scarlett,Gareth Bale,Carlos Vinícius,Steven Bergwijn,Sam Johnstone,Conor Townsend,Kyle Bartley,Semi Ajayi,Lee Peltier,Karlan Grant,Robert Snodgrass,Conor Gallagher,Romaine Sawyers,Ainsley Maitland-Niles,Mbaye Diagne,David Button,Darnell Furlong,Dara O'Shea,Okay Yokuslu,Jake Livermore,Matt Phillips,Hal Robson-Kanu,Callum Robinson,Matheus Pereira,59124,Tottenham Hotspur,West Bromwich Albion,2,0,4-2-3-1,4-1-4-1
