0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,match_id,home_team,away_team,home_score,away_score,home_formation,away_formation
Ederson,Kyle Walker,Nathan Aké,Rúben Dias,Bernardo Silva,Rodri,Riyad Mahrez,João Cancelo,Phil Foden,Sergio Agüero,Raheem Sterling,Zack Steffen,Eric García,John Stones,Ilkay Gündogan,Fernandinho,Liam Delap,Ferran Torres,Buffer,Buffer,Bernd Leno,Kieran Tierney,Héctor Bellerín,David Luiz,Gabriel Magalhães,Bukayo Saka,Granit Xhaka,Dani Ceballos,Nicolas Pépé,Willian,Pierre-Emerick Aubameyang,Rúnar Alex Rúnarsson,Thomas Partey,Ainsley Maitland-Niles,Mohamed Elneny,Alexandre Lacazette,Eddie Nketiah,Buffer,Buffer,Buffer,58941,Manchester City,Arsenal,1,0,3-1-4-2,4-3-3
Karl Darlow,Emil Krafth,Jamal Lewis,Jamaal Lascelles,Federico Fernández,Jonjo Shelvey,Joelinton,Jeff Hendrick,Isaac Hayden,Allan Saint-Maximin,Callum Wilson,Mark Gillespie,Fabian Schär,Javier Manquillo,Jacob Murphy,Miguel Almirón,Ryan Fraser,Andy Carroll,Buffer,Buffer,David de Gea,Harry Maguire,Aaron Wan-Bissaka,Luke Shaw,Victor Lindelöf,Daniel James,Bruno Fernandes,Scott McTominay,Fred,Juan Mata,Marcus Rashford,Dean Henderson,Eric Bailly,Alex Telles,Nemanja Matic,Paul Pogba,Donny van de Beek,Odion Ighalo,Buffer,Buffer,58942,Newcastle United,Manchester United,1,4,4-1-4-1,4-2-3-1
Aaron Ramsdale,John Egan,Chris Basham,Enda Stevens,John Lundstram,Oliver Norwood,Sander Berge,George Baldock,Max Lowe,Oliver McBurnie,David McGoldrick,Michael Verrips,Ethan Ampadu,Jack Robinson,Oliver Burke,Ben Osborn,Rhian Brewster,Billy Sharp,Buffer,Buffer,Alphonse Areola,Tim Ream,Ola Aina,Tosin Adarabioyo,Ivan Cavaleiro,André-Frank Zambo Anguissa,Antonee Robinson,Tom Cairney,Aleksandar Mitrovic,Ademola Lookman,Ruben Loftus-Cheek,Marek Rodák,Joe Bryan,Maxime Le Marchand,Mario Lemina,Neeskens Kebano,Bobby De Cordova-Reid,Aboubakar Kamara,Buffer,Buffer,58943,Sheffield United,Fulham,1,1,3-5-2,3-4-2-1
Hugo Lloris,Serge Aurier,Sergio Reguilón,Toby Alderweireld,Davinson Sánchez,Tanguy Ndombele,Son Heung-Min,Pierre-Emile Højbjerg,Steven Bergwijn,Moussa Sissoko,Harry Kane,Joe Hart,Ben Davies,Matt Doherty,Harry Winks,Carlos Vinícius,Lucas Moura,Gareth Bale,Buffer,Buffer,Lukasz Fabianski,Arthur Masuaku,Angelo Ogbonna,Vladimir Coufal,Fabián Balbuena,Aaron Cresswell,Declan Rice,Pablo Fornals,Tomas Soucek,Jarrod Bowen,Michail Antonio,Darren Randolph,Ryan Fredericks,Issa Diop,Manuel Lanzini,Robert Snodgrass,Mark Noble,Andriy Yarmolenko,Buffer,Buffer,58944,Tottenham Hotspur,West Ham United,3,3,4-2-3-1,5-4-1
Sam Johnstone,Darnell Furlong,Conor Townsend,Branislav Ivanovic,Ahmed Hegazi,Filip Krovinovic,Jake Livermore,Grady Diangana,Matheus Pereira,Conor Gallagher,Karlan Grant,David Button,Semi Ajayi,Kyle Bartley,Dara O'Shea,Matt Phillips,Romaine Sawyers,Callum Robinson,Buffer,Buffer,Nick Pope,Erik Pieters,Charlie Taylor,James Tarkowski,Kevin Long,Josh Brownhill,Ashley Westwood,Dwight McNeil,Jóhann Gudmundsson,Chris Wood,Ashley Barnes,Will Norris,Jimmy Dunne,Anthony Driscoll-Glennon,Robbie Brady,Dale Stephens,Jay Rodriguez,Matej Vydra,Buffer,Buffer,58945,West Bromwich Albion,Burnley,0,0,4-1-4-1,4-4-2
Bernd Leno,Gabriel Magalhães,Granit Xhaka,David Luiz,Thomas Partey,Kieran Tierney,Dani Ceballos,Héctor Bellerín,Bukayo Saka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Rúnar Alex Rúnarsson,Shkodran Mustafi,Joseph Willock,Mohamed Elneny,Ainsley Maitland-Niles,Eddie Nketiah,Nicolas Pépé,Buffer,Buffer,Kasper Schmeichel,Jonny Evans,Christian Fuchs,Wesley Fofana,Timothy Castagne,James Justin,Youri Tielemans,Nampalys Mendy,Harvey Barnes,Dennis Praet,James Maddison,Danny Ward,Wes Morgan,Marc Albrighton,Hamza Choudhury,Cengiz Ünder,Jamie Vardy,Kelechi Iheanacho,Buffer,Buffer,58946,Arsenal,Leicester City,0,1,3-4-3,3-4-2-1
Emiliano Martínez,Matthew Cash,Ezri Konsa,Tyrone Mings,Matt Targett,Trézéguet,Douglas Luiz,Ross Barkley,Jack Grealish,John McGinn,Ollie Watkins,Jed Steer,Ahmed El Mohamady,Björn Engels,Marvelous Nakamba,Conor Hourihane,Bertrand Traoré,Keinan Davis,Buffer,Buffer,Illan Meslier,Ezgjan Alioski,Luke Ayling,Robin Koch,Stuart Dallas,Hélder Costa,Jack Harrison,Pascal Struijk,Mateusz Klich,Patrick Bamford,Rodrigo,Kiko Casilla,Leif Davis,Pablo Hernández,Jamie Shackleton,Ian Poveda-Ocampo,Tyler Roberts,Raphinha,Buffer,Buffer,58947,Aston Villa,Leeds United,0,3,4-2-3-1,4-4-1-1
Mat Ryan,Dan Burn,Joël Veltman,Adam Webster,Benjamin White,Yves Bissouma,Solly March,Tariq Lamptey,Adam Lallana,Leandro Trossard,Neal Maupay,Jason Steele,Bernardo,Alexis Mac Allister,Steven Alzate,Pascal Groß,Danny Welbeck,Aaron Connolly,Buffer,Buffer,Sam Johnstone,Darnell Furlong,Conor Townsend,Branislav Ivanovic,Semi Ajayi,Filip Krovinovic,Jake Livermore,Grady Diangana,Matheus Pereira,Conor Gallagher,Karlan Grant,David Button,Kieran Gibbs,Kyle Bartley,Matt Phillips,Kyle Edwards,Rekeem Harper,Callum Robinson,Buffer,Buffer,58948,Brighton and Hove Albion,West Bromwich Albion,1,1,3-4-2-1,4-1-4-1
Nick Pope,Charlie Taylor,James Tarkowski,Kevin Long,Matthew Lowton,Josh Brownhill,Ashley Westwood,Dwight McNeil,Jóhann Gudmundsson,Ashley Barnes,Chris Wood,Bailey Peacock-Farrell,Jimmy Dunne,Robbie Brady,Dale Stephens,Josh Benson,Matej Vydra,Jay Rodriguez,Buffer,Buffer,Hugo Lloris,Ben Davies,Matt Doherty,Eric Dier,Toby Alderweireld,Moussa Sissoko,Son Heung-Min,Tanguy Ndombele,Pierre-Emile Højbjerg,Lucas Moura,Harry Kane,Joe Hart,Sergio Reguilón,Joe Rodon,Giovani Lo Celso,Erik Lamela,Gareth Bale,Carlos Vinícius,Buffer,Buffer,58949,Burnley,Tottenham Hotspur,0,1,4-4-2,4-2-3-1
Alphonse Areola,Tim Ream,Ola Aina,Antonee Robinson,Tosin Adarabioyo,Tom Cairney,Mario Lemina,Ademola Lookman,André-Frank Zambo Anguissa,Ruben Loftus-Cheek,Aleksandar Mitrovic,Marek Rodák,Joe Bryan,Maxime Le Marchand,Denis Odoi,Harrison Reed,Aboubakar Kamara,Bobby De Cordova-Reid,Buffer,Buffer,Vicente Guaita,Nathaniel Clyne,Tyrick Mitchell,Scott Dann,Cheikhou Kouyaté,Jairo Riedewald,Jeffrey Schlupp,Andros Townsend,Luka Milivojevic,Wilfried Zaha,Michy Batshuayi,Stephen Henderson,Martin Kelly,Mamadou Sakho,Patrick van Aanholt,Max Meyer,Eberechi Eze,Christian Benteke,Buffer,Buffer,58950,Fulham,Crystal Palace,1,2,4-3-2-1,4-4-2
Alisson,Fabinho,Andrew Robertson,Trent Alexander-Arnold,Joseph Gomez,Georginio Wijnaldum,Sadio Mané,Diogo Jota,Roberto Firmino,Jordan Henderson,Mohamed Salah,Adrián,Neco Williams,Nathaniel Phillips,Curtis Jones,Xherdan Shaqiri,James Milner,Takumi Minamino,Buffer,Buffer,Aaron Ramsdale,John Egan,Chris Basham,Enda Stevens,John Lundstram,Ben Osborn,Ethan Ampadu,Sander Berge,George Baldock,Oliver McBurnie,Rhian Brewster,Michael Verrips,Phil Jagielka,Jack Robinson,Oliver Burke,Oliver Norwood,Billy Sharp,David McGoldrick,Buffer,Buffer,58951,Liverpool,Sheffield United,2,1,4-2-3-1,3-5-2
David de Gea,Victor Lindelöf,Luke Shaw,Harry Maguire,Aaron Wan-Bissaka,Daniel James,Juan Mata,Fred,Bruno Fernandes,Scott McTominay,Marcus Rashford,Dean Henderson,Axel Tuanzebe,Paul Pogba,Nemanja Matic,Donny van de Beek,Mason Greenwood,Edinson Cavani,Buffer,Buffer,Édouard Mendy,Kurt Zouma,Thiago Silva,César Azpilicueta,N'Golo Kanté,Jorginho,Ben Chilwell,Reece James,Timo Werner,Kai Havertz,Christian Pulisic,Willy Caballero,Antonio Rüdiger,Mason Mount,Mateo Kovacic,Hakim Ziyech,Olivier Giroud,Tammy Abraham,Buffer,Buffer,58952,Manchester United,Chelsea,0,0,4-2-3-1,3-4-2-1
Alex McCarthy,Jannik Vestergaard,Jan Bednarek,Ryan Bertrand,Kyle Walker-Peters,Nathan Redmond,James Ward-Prowse,Oriol Romeu,Stuart Armstrong,Danny Ings,Che Adams,Fraser Forster,Jack Stephens,Jake Vokins,Nathan Tella,Ibrahima Diallo,Daniel N'Lundulu,Shane Long,Buffer,Buffer,Jordan Pickford,Lucas Digne,Yerry Mina,Michael Keane,Ben Godfrey,Gylfi Sigurdsson,Allan,Abdoulaye Doucouré,Dominic Calvert-Lewin,Alex Iwobi,James Rodríguez,Robin Olsen,Niels Nkounkou,André Gomes,Fabian Delph,Tom Davies,Bernard,Anthony Gordon,Buffer,Buffer,58953,Southampton,Everton,2,0,4-4-2,4-3-3
Lukasz Fabianski,Arthur Masuaku,Angelo Ogbonna,Vladimir Coufal,Fabián Balbuena,Aaron Cresswell,Declan Rice,Pablo Fornals,Tomas Soucek,Jarrod Bowen,Michail Antonio,Darren Randolph,Ryan Fredericks,Issa Diop,Manuel Lanzini,Mark Noble,Andriy Yarmolenko,Sébastien Haller,Buffer,Buffer,Ederson,Eric García,Kyle Walker,Rúben Dias,João Cancelo,Ilkay Gündogan,Rodri,Bernardo Silva,Sergio Agüero,Raheem Sterling,Riyad Mahrez,Zack Steffen,Oleksandr Zinchenko,John Stones,Phil Foden,Cole Palmer,Kevin De Bruyne,Ferran Torres,Buffer,Buffer,58954,West Ham United,Manchester City,1,1,5-4-1,4-3-3
